shortcode,url,author,caption,published_at,likes,comments,views,video_url,thumbnail_url,media_path,source_url,hashtags,mentions,external_links,word_count,char_count,language,emojis,keywords,ad_detected,topics,caption_hash,duplicate_of,similarity_score,duration_seconds,audio_title,collaborators,is_remix,media_type,is_pinned,grid_position,thumbnail_width,thumbnail_height,thumbnail_variants,first_seen_at,updated_at
DZiDEvlgLRS,https://www.instagram.com/reel/DZiDEvlgLRS/,,,,,,5200000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.803Z,2026-07-20T06:42:12.803Z
DZgHWJEiZ1R,https://www.instagram.com/reel/DZgHWJEiZ1R/,,,,,,66,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.665Z,2026-07-20T06:42:12.665Z
DZjSv_9AAar,https://www.instagram.com/reel/DZjSv_9AAar/,,,,,,1800000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.459Z,2026-07-20T06:42:12.459Z
DZnOMzWkZQS,https://www.instagram.com/reel/DZnOMzWkZQS/,,,,,,1500000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.423Z,2026-07-20T06:42:12.423Z
DZdWHqUIaIW,https://www.instagram.com/reel/DZdWHqUIaIW/,,,,,,4200000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.386Z,2026-07-20T06:42:12.386Z
DZpQwxqimz2,https://www.instagram.com/reel/DZpQwxqimz2/,,,,,,4900000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.350Z,2026-07-20T06:42:12.350Z
DZpyMOvR_R9,https://www.instagram.com/reel/DZpyMOvR_R9/,,,,,,2800000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.315Z,2026-07-20T06:42:12.315Z
DZsufjPAf35,https://www.instagram.com/reel/DZsufjPAf35/,,,,,,1300000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.276Z,2026-07-20T06:42:12.276Z
DZs5le7sTFD,https://www.instagram.com/reel/DZs5le7sTFD/,,,,,,2000000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.238Z,2026-07-20T06:42:12.238Z
DZvYZrdkWv5,https://www.instagram.com/reel/DZvYZrdkWv5/,,,,,,1400000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.201Z,2026-07-20T06:42:12.201Z
DZyJCcXg6Na,https://www.instagram.com/reel/DZyJCcXg6Na/,,,,,,2400000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.165Z,2026-07-20T06:42:12.165Z
DZyK5GRD1vy,https://www.instagram.com/reel/DZyK5GRD1vy/,,,,,,2700000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.131Z,2026-07-20T06:42:12.131Z
DZ0IHbzD3-d,https://www.instagram.com/reel/DZ0IHbzD3-d/,,,,,,6200000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.099Z,2026-07-20T06:42:12.099Z
DZ2-6odgXKU,https://www.instagram.com/reel/DZ2-6odgXKU/,,,,,,20,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.065Z,2026-07-20T06:42:12.065Z
DZx1WRhAL-P,https://www.instagram.com/reel/DZx1WRhAL-P/,,,,,,6300000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:12.000Z,2026-07-20T06:42:12.000Z
DZ54t2bgYTU,https://www.instagram.com/reel/DZ54t2bgYTU/,,,,,,4300000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.965Z,2026-07-20T06:42:11.965Z
DZ8cY6xAElr,https://www.instagram.com/reel/DZ8cY6xAElr/,,,,,,3100000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.931Z,2026-07-20T06:42:11.931Z
DZ-DYN4gL5i,https://www.instagram.com/reel/DZ-DYN4gL5i/,,,,,,1400000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.895Z,2026-07-20T06:42:11.895Z
DZ-bSIAFdQE,https://www.instagram.com/reel/DZ-bSIAFdQE/,,,,,,2700000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.859Z,2026-07-20T06:42:11.859Z
DZ-9JWXgRR_,https://www.instagram.com/reel/DZ-9JWXgRR_/,,,,,,12500000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.818Z,2026-07-20T06:42:11.818Z
DaC4Nf_AGqW,https://www.instagram.com/reel/DaC4Nf_AGqW/,,,,,,1500000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.782Z,2026-07-20T06:42:11.782Z
DaDdxRcid9R,https://www.instagram.com/reel/DaDdxRcid9R/,,,,,,2300000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.739Z,2026-07-20T06:42:11.739Z
DaOJX0wguzY,https://www.instagram.com/reel/DaOJX0wguzY/,,,,,,1300000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.698Z,2026-07-20T06:42:11.698Z
DaREV4MAKKV,https://www.instagram.com/reel/DaREV4MAKKV/,,,,,,2000000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.404Z,2026-07-20T06:42:11.404Z
DaSip_jgfgL,https://www.instagram.com/reel/DaSip_jgfgL/,,,,,,3400000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.342Z,2026-07-20T06:42:11.342Z
DaVXKcLgUwl,https://www.instagram.com/reel/DaVXKcLgUwl/,,,,,,15,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.274Z,2026-07-20T06:42:11.274Z
DaV5NQRg7I2,https://www.instagram.com/reel/DaV5NQRg7I2/,,,,,,5200000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.206Z,2026-07-20T06:42:11.206Z
DaYWHOWgoJY,https://www.instagram.com/reel/DaYWHOWgoJY/,,,,,,1800000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.104Z,2026-07-20T06:42:11.104Z
DaYblMOiqQ4,https://www.instagram.com/reel/DaYblMOiqQ4/,,,,,,3100000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.071Z,2026-07-20T06:42:11.071Z
DaYeefXgiOx,https://www.instagram.com/reel/DaYeefXgiOx/,,,,,,1400000,,,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,,,,,,,,,2026-07-20T06:42:11.038Z,2026-07-20T06:42:11.038Z
DaYk8qlDFMg,https://www.instagram.com/reel/DaYk8qlDFMg/,,,,,,2200000,,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/723961005_18673212337019133_5393481400875940141_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=MzkzNDA1Njc3MzA2OTg1MzQ3MjE4NjczMjEyMzMxMDE5MTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=Ghq_tIacjooQ7kNvwFKzq-U&_nc_oc=Adrmu-9Njtx68CFtqsUJaSVhjxaqFnPnUWArhyz0EkEfceoCBJbrM632VqFA71jg8rc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=i04YKzDOGN49vcO1p4C-Vw&_nc_ss=7a22e&oh=00_AQApBU8_6GjX8ouLC32L6izhI1eFUczgKN6TjKU8qb0New&oe=6A6398FC,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,[],0,reel,0,20,,,[],2026-07-20T06:42:11.004Z,2026-07-20T06:56:02.279Z
DaZOSfkCIbx,https://www.instagram.com/reel/DaZOSfkCIbx/,,,,,,2300000,,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/730381695_18608679727043047_2450636472267757272_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=MzkzNDIzODU5Mjk3NzExMDc2OTE4NjA4Njc5NzI0MDQzMDQ3.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=Midch3Rg2pkQ7kNvwE-Cbim&_nc_oc=Adpw3CD-_KDl1ayM8sseNF5-rw4zkZbSVRwUWrGzgO-tDhqOe_-g6ByVYzNMlNLN2Ok&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=i04YKzDOGN49vcO1p4C-Vw&_nc_ss=7a22e&oh=00_AQDgyBqfjXmdJHq45rlz54i0IgzizLEkadboVjumkb3Ztw&oe=6A6383AB,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,[],0,reel,0,19,,,[],2026-07-20T06:42:10.968Z,2026-07-20T06:56:02.256Z
Dad7Iv0ANiV,https://www.instagram.com/reel/Dad7Iv0ANiV/,,,,,,3700000,,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/733507379_18674185105019133_5886629982714981086_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzkzNTU2MTczNTIyOTk4Njk2NTE4Njc0MTg1MTAyMDE5MTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=EfhRpFRLjR8Q7kNvwGac3mj&_nc_oc=AdpKgk9kEUJ1ucMpM0RcqfnBYSpLT68Wf98alz0kxkzf7EDvNCupf1n-63kW7uUlOy8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=i04YKzDOGN49vcO1p4C-Vw&_nc_ss=7a22e&oh=00_AQAtjnDn0HcRH_NuT3Oa58y3q3aNZpdPxC_2ZHZoH2cgxw&oe=6A639048,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,[],0,reel,0,18,,,[],2026-07-20T06:42:10.931Z,2026-07-20T06:56:02.244Z
Dafgb-ZDNlf,https://www.instagram.com/reel/Dafgb-ZDNlf/,,,,,,1900000,,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/740608525_17940155691266662_2488931781756236417_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=MzkzNjAwNzI1OTI1MTU5NTYxNTE3OTQwMTU1Njg4MjY2NjYy.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjQwNS5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=nEwoMtF5-0AQ7kNvwGPuNLs&_nc_oc=Adrzd4pTX0LuF_lnHXQIu3c2GcxCpSnN3S6_pQ2OK10TbHvyDJn7eBJplTgWdOQPKoQ&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=i04YKzDOGN49vcO1p4C-Vw&_nc_ss=7a22e&oh=00_AQB7g73OYbnFoNIr0sOtkpGg97WqJka8ZyTz1U9rXs-ypA&oe=6A637B97,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,[],0,reel,0,17,,,[],2026-07-20T06:42:10.893Z,2026-07-20T06:56:02.237Z
DafuoAoiGTL,https://www.instagram.com/reel/DafuoAoiGTL/,,,,,,2500000,,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/735761359_18674137483019133_8413972521138971409_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=MzkzNjA2OTY1ODk0MzcxMDQxMTE4Njc0MTM3NDgwMDE5MTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=xbCQhAvWkQcQ7kNvwFZ0LwE&_nc_oc=Adr7XuY5l1YcKGXvNeK97df0CPgIBdBguTtqwIgkEja4ull24c_wXrBbRPQXzq0uM2I&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=i04YKzDOGN49vcO1p4C-Vw&_nc_ss=7a22e&oh=00_AQCrfPU3gVBHTmyY7paQisESXeT1HpO62hwjlg0b18I_9g&oe=6A637B11,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,[],0,reel,0,16,,,[],2026-07-20T06:42:10.854Z,2026-07-20T06:56:02.228Z
DaiUzBsFDyN,https://www.instagram.com/reel/DaiUzBsFDyN/,,,,,,1300000,,https://scontent-ams2-1.cdninstagram.com/v/t51.82787-15/729618305_18674444650019133_3581851863018353761_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzkzNjgwMDQ5MTcxMjAzNTk4MTE4Njc0NDQ0NjQ0MDE5MTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=uWViLSJQhcIQ7kNvwHqM36X&_nc_oc=AdpB6wINvLpD0Hns7tGAS5-Sb7JD4xY2N9BruXSjEWrhGTKBJL7zFE7NWIq--Bx0gis&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=scontent-ams2-1.cdninstagram.com&_nc_gid=i04YKzDOGN49vcO1p4C-Vw&_nc_ss=7a22e&oh=00_AQDcsFU1Gy54Mr6RfvtOpv0i6MuB2rAIc4A6WtgCy6J8lQ&oe=6A638CD1,,https://www.instagram.com/natgeo/reels/,,,,,,,,,,,,,,,,[],0,reel,0,15,,,[],2026-07-20T06:42:10.778Z,2026-07-20T06:56:02.210Z
